owner_project,teamno,noofmembers,concerned_years,noofyears,proj_size,proj_language,proj_age,median_pr_merged,stanfordandgender,stanfordandgenderwithoutNAN,eth_stanandnameprism_st,eth_stanandnameprism_st_withoutNAN,knownethnicityprop,knowngenderprop,atleast75genprop,ethblau_st_cat,eth_blau_index,gender_blau_index,project_star_count,project_watchers_count,project_language,project_forks_count
autotest_tp-qemu,15,4,"['2017', '2018']",2,47309,Python,1803,4.5,"['female', 'female', 'female', 'UnKnown']","['female', 'female', 'female', 'UnKnown']","['API', 'API', 'API', 'NAN']","['API', 'API', 'API', 'Unknown']",0.75,0.75,1,heterogeneous,0,0,25,25,Python,141
autotest_tp-qemu,6,5,"['2017', '2018']",2,47309,Python,1803,9,"['UnKnown', 'UnKnown', 'female', 'male', 'unisex']","['UnKnown', 'UnKnown', 'female', 'male', 'unisex']","['API', 'NAN', 'API', 'API', 'API']","['API', 'Unknown', 'API', 'API', 'API']",0.8,0.6,0,heterogeneous,0,0.666666667,25,25,Python,141
autotest_tp-qemu,18,5,"['2017', '2018']",2,47309,Python,1803,6,"['female', 'male', 'female', 'UnKnown', 'unisex']","['female', 'male', 'female', 'UnKnown', 'unisex']","['API', 'API', 'API', 'NAN', 'API']","['API', 'API', 'API', 'Unknown', 'API']",0.8,0.8,1,heterogeneous,0,0.625,25,25,Python,141
autotest_tp-qemu,16,4,"['2017', '2016', '2018']",3,47309,Python,1803,6,"['female', 'female', 'female', 'female']","['female', 'female', 'female', 'female']","['API', 'API', 'API', 'API']","['API', 'API', 'API', 'API']",1,1,1,homogeneous,0,0,25,25,Python,141
autotest_tp-qemu,41,3,"['2017', '2018']",2,47309,Python,1803,2,"['UnKnown', 'UnKnown', 'female']","['UnKnown', 'UnKnown', 'female']","['API', 'API', 'API']","['API', 'API', 'API']",1,0.333333333,0,homogeneous,0,0,25,25,Python,141
autotest_tp-qemu,21,4,"['2017', '2018']",2,47309,Python,1803,6,"['female', 'male', 'UnKnown', 'female']","['female', 'male', 'UnKnown', 'female']","['API', 'API', 'NAN', 'API']","['API', 'API', 'Unknown', 'API']",0.75,0.75,1,heterogeneous,0,0.444444444,25,25,Python,141
autotest_tp-qemu,43,4,"['2017', '2018']",2,47309,Python,1803,7,"['UnKnown', 'female', 'male', 'female']","['UnKnown', 'female', 'male', 'female']","['API', 'API', 'API', 'API']","['API', 'API', 'API', 'API']",1,0.75,1,homogeneous,0,0.444444444,25,25,Python,141
autotest_tp-qemu,19,4,"['2017', '2016', '2018']",3,47309,Python,1803,7.5,"['female', 'male', 'female', 'female']","['female', 'male', 'female', 'female']","['API', 'API', 'API', 'API']","['API', 'API', 'API', 'API']",1,1,1,homogeneous,0,0.375,25,25,Python,141
jbosstm_narayana,8,3,['2018'],1,83987,Java,2569,4,"['male', 'male', 'unisex']","['male', 'male', 'unisex']","['White', 'White', 'API']","['White', 'White', 'API']",1,1,1,heterogeneous,0.444444444,0.444444444,133,133,Java,122
OCA_l10n-italy,25,4,['2018'],1,26767,Python,1666,5.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,1,1,heterogeneous,0,0,51,51,Python,164
payara_Payara,13,7,"['2018', '2017']",2,111041,Java,1572,33,"['male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['White', 'White', 'NAN', 'White', 'White', 'White', 'White']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'White']",0.857142857,0.857142857,1,heterogeneous,0,0,729,729,Java,229
puppetlabs_packaging,14,5,"['2018', '2017', '2016']",3,3067,Ruby,2348,4,"['female', 'female', 'female', 'male', 'unisex']","['female', 'female', 'female', 'male', 'unisex']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.56,38,38,Ruby,71
payara_Payara,11,7,['2018'],1,111041,Java,1572,21,"['male', 'male', 'UnKnown', 'male', 'male', 'male', 'female']","['male', 'male', 'UnKnown', 'male', 'male', 'male', 'female']","['White', 'White', 'NAN', 'White', 'White', 'White', 'API']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'API']",0.857142857,0.857142857,1,heterogeneous,0.277777778,0.277777778,729,729,Java,229
payara_Payara,12,8,['2018'],1,111041,Java,1572,29.5,"['male', 'male', 'UnKnown', 'male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'NAN', 'White', 'White', 'White', 'NAN', 'White']","['White', 'White', 'Unknown', 'White', 'White', 'White', 'Unknown', 'White']",0.75,0.75,1,heterogeneous,0,0,729,729,Java,229
rancherio_cattle,15,3,"['2016', '2018', '2017']",3,32602,Java,1744,1,"['male', 'male', 'female']","['male', 'male', 'female']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0.444444444,549,549,Java,190
rancherio_cattle,9,3,"['2016', '2017', '2018', '2015']",4,32602,Java,1744,3,"['female', 'male', 'female']","['female', 'male', 'female']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0.444444444,549,549,Java,190
rpm-software-management_dnf,9,5,"['2018', '2017']",2,52130,Python,2488,16,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,688,688,Python,259
ORCID_ORCID-Source,2,4,"['2018', '2017', '2016', '2015', '2014']",5,142758,Java,2132,4,"['male', 'female', 'male', 'male']","['male', 'female', 'male', 'male']","['Hispanic', 'White', 'White', 'White']","['Hispanic', 'White', 'White', 'White']",1,1,1,heterogeneous,0.375,0.375,186,186,Java,73
rancherio_cattle,11,3,"['2016', '2017', '2018', '2015']",4,32602,Java,1744,2,"['female', 'male', 'female']","['female', 'male', 'female']","['White', 'White', 'API']","['White', 'White', 'API']",1,1,1,heterogeneous,0.444444444,0.444444444,549,549,Java,190
rpm-software-management_dnf,15,4,"['2018', '2017']",2,52130,Python,2488,1.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,688,688,Python,259
dmwm_deployment,2,4,['2018'],1,4880,Python,2427,2.5,"['UnKnown', 'female', 'male', 'male']","['UnKnown', 'female', 'male', 'male']","['API', 'Hispanic', 'Unknown', 'White']","['API', 'Hispanic', 'Unknown', 'White']",0.75,0.75,1,heterogeneous,0.666666667,0.444444444,16,16,Python,128
moneyadviceservice_frontend,44,3,"['2018', '2017']",2,48634,Ruby,1838,2,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,9,9,Ruby,9
rpm-software-management_dnf,16,3,"['2018', '2017']",2,52130,Python,2488,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,688,688,Python,259
Catrobat_Catroid,15,4,"['2017', '2016', '2015', '2018']",4,128896,Java,2407,3,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,212,212,Java,363
scala_scala,144,6,['2018'],1,123866,Scala,2587,18.5,"['male', 'male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'White', 'Unknown', 'White']","['White', 'White', 'White', 'White', 'Unknown', 'White']",0.833333333,0.833333333,1,heterogeneous,0,0,12340,12340,Scala,2831
scala_scala,177,4,['2018'],1,123866,Scala,2587,6.5,"['female', 'male', 'male', 'male']","['female', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,1,1,heterogeneous,0,0.375,12340,12340,Scala,2831
ceph_teuthology,12,3,"['2018', '2017']",2,9224,Python,2670,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'API']","['White', 'White', 'API']",1,1,1,heterogeneous,0.444444444,0,116,116,Python,165
